"id","name","cuisine","cuisine_w","ingradient","restriction","operating_hours","lat","lng","avg_current_rating","current_review_count","avg_all_rating","total_review_count"
118,Dish 7-8,Japanese,0.9,"[""Beef"", ""Rice""]","[]","12PM-12AM",10.822622,106.720172,5.0000000000000000,1,5.0000000000000000,1
195,Dish 15-5,Italian,1.0,"[""Rice"", ""Basil""]","[]","11AM-11PM",10.902622,106.800172,5.0000000000000000,1,5.0000000000000000,1
190,Dish 14-10,American,1.0,"[""Beef"", ""Rice""]","[]","10AM-10PM",10.892622,106.790172,5.0000000000000000,1,5.0000000000000000,1
95,Dish 5-5,French,1.0,"[""Rice"", ""Basil""]","[]","11AM-10PM",10.802622,106.700172,5.0000000000000000,1,5.0000000000000000,1
160,Dish 11-10,Mexican,1.2,"[""Chili Pepper"", ""Garlic""]","[]","11AM-1AM",10.862622,106.760172,5.0000000000000000,1,5.0000000000000000,1
59,Dish 1-9,Japanese,0.9,"[""Beef"", ""Chili Pepper""]","[]","9AM-10PM",10.762622,106.660172,5.0000000000000000,1,5.0000000000000000,1
162,Dish 12-2,Chinese,0.95,"[""Tomato"", ""Rice""]","[]","6AM-10PM",10.872622,106.770172,5.0000000000000000,1,5.0000000000000000,1
200,Dish 15-10,Japanese,0.9,"[""Chicken"", ""Basil""]","[]","11AM-11PM",10.902622,106.800172,5.0000000000000000,1,5.0000000000000000,1
198,Dish 15-8,Japanese,0.9,"[""Beef"", ""Chili Pepper""]","[]","11AM-11PM",10.902622,106.800172,4.0000000000000000,1,4.0000000000000000,1
203,Dish 16-3,Korean,1.05,"[""Cheese"", ""Tomato""]","[]","12PM-10PM",10.912622,106.810172,4.0000000000000000,1,4.0000000000000000,1
199,Dish 15-9,Thai,1.1,"[""Rice"", ""Basil""]","[]","11AM-11PM",10.902622,106.800172,4.0000000000000000,1,4.0000000000000000,1
144,Dish 10-4,Indian,1.3,"[""Chili Pepper"", ""Garlic""]","[]","5PM-11PM",10.852622,106.750172,4.0000000000000000,2,4.0000000000000000,2
184,Dish 14-4,Italian,1.0,"[""Beef"", ""Chili Pepper""]","[]","10AM-10PM",10.892622,106.790172,4.0000000000000000,1,4.0000000000000000,1
149,Dish 10-9,Korean,1.05,"[""Beef"", ""Chili Pepper""]","[]","5PM-11PM",10.852622,106.750172,4.0000000000000000,1,4.0000000000000000,1
157,Dish 11-7,American,1.0,"[""Beef"", ""Rice""]","[]","11AM-1AM",10.862622,106.760172,3.5000000000000000,2,3.5000000000000000,2
141,Dish 10-1,American,1.0,"[""Tomato"", ""Rice""]","[]","5PM-11PM",10.852622,106.750172,3.0000000000000000,1,3.0000000000000000,1
206,Dish 16-6,Thai,1.1,"[""Rice"", ""Basil""]","[]","12PM-10PM",10.912622,106.810172,3.0000000000000000,1,3.0000000000000000,1
132,Dish 9-2,American,1.0,"[""Rice"", ""Basil""]","[]","7AM-7PM",10.842622,106.740172,3.0000000000000000,2,3.0000000000000000,2
89,Dish 4-9,Indian,1.3,"[""Chili Pepper"", ""Garlic""]","[]","10AM-8PM",10.792622,106.690172,3.0000000000000000,1,3.0000000000000000,1
126,Dish 8-6,Japanese,0.9,"[""Chili Pepper"", ""Garlic""]","[]","8AM-8PM",10.832622,106.730172,3.0000000000000000,2,3.0000000000000000,2
189,Dish 14-9,Mexican,1.2,"[""Chicken"", ""Basil""]","[]","10AM-10PM",10.892622,106.790172,3.0000000000000000,1,3.0000000000000000,1
86,Dish 4-6,Korean,1.05,"[""Tomato"", ""Cheese""]","[]","10AM-8PM",10.792622,106.690172,3.0000000000000000,1,3.0000000000000000,1
194,Dish 15-4,Thai,1.1,"[""Chicken"", ""Basil""]","[]","11AM-11PM",10.902622,106.800172,3.0000000000000000,1,3.0000000000000000,1
91,Dish 5-1,Korean,1.05,"[""Garlic"", ""Basil""]","[]","11AM-10PM",10.802622,106.700172,2.6666666666666667,3,2.6666666666666667,3
228,Dish 18-8,American,1.0,"[""Cheese"", ""Tomato""]","[]","8AM-8PM",10.932622,106.830172,2.5000000000000000,2,2.5000000000000000,2
99,Dish 5-9,Vietnamese,1.1,"[""Tomato"", ""Rice""]","[]","11AM-10PM",10.802622,106.700172,2.0000000000000000,1,2.0000000000000000,1
180,Dish 13-10,Japanese,0.9,"[""Chili Pepper"", ""Garlic""]","[]","9AM-9PM",10.882622,106.780172,2.0000000000000000,1,2.0000000000000000,1
148,Dish 10-8,American,1.0,"[""Chicken"", ""Basil""]","[]","5PM-11PM",10.852622,106.750172,2.0000000000000000,2,2.0000000000000000,2
167,Dish 12-7,Vietnamese,1.1,"[""Cheese"", ""Tomato""]","[]","6AM-10PM",10.872622,106.770172,2.0000000000000000,1,2.0000000000000000,1
117,Dish 7-7,Indian,1.3,"[""Tomato"", ""Rice""]","[]","12PM-12AM",10.822622,106.720172,2.0000000000000000,1,2.0000000000000000,1
123,Dish 8-3,Indian,1.3,"[""Tomato"", ""Cheese""]","[]","8AM-8PM",10.832622,106.730172,2.0000000000000000,1,2.0000000000000000,1
168,Dish 12-8,Italian,1.0,"[""Chicken"", ""Basil""]","[]","6AM-10PM",10.872622,106.770172,2.0000000000000000,1,2.0000000000000000,1
110,Dish 6-10,Italian,1.0,"[""Tomato"", ""Rice""]","[]","9AM-11PM",10.812622,106.710172,2.0000000000000000,1,2.0000000000000000,1
82,Dish 4-2,Chinese,0.95,"[""Tomato"", ""Cheese""]","[]","10AM-8PM",10.792622,106.690172,2.0000000000000000,1,2.0000000000000000,1
116,Dish 7-6,Thai,1.1,"[""Chicken"", ""Basil""]","[]","12PM-12AM",10.822622,106.720172,2.0000000000000000,2,2.0000000000000000,2
204,Dish 16-4,Italian,1.0,"[""Chicken"", ""Basil""]","[]","12PM-10PM",10.912622,106.810172,2.0000000000000000,1,2.0000000000000000,1
164,Dish 12-4,Korean,1.05,"[""Tomato"", ""Cheese""]","[]","6AM-10PM",10.872622,106.770172,2.0000000000000000,2,2.0000000000000000,2
143,Dish 10-3,Korean,1.05,"[""Chicken"", ""Garlic""]","[]","5PM-11PM",10.852622,106.750172,2.0000000000000000,1,2.0000000000000000,1
240,Dish 19-10,American,1.0,"[""Garlic"", ""Basil""]","[]","6AM-2PM",10.942622,106.840172,1.5000000000000000,2,1.5000000000000000,2
192,Dish 15-2,Indian,1.3,"[""Rice"", ""Basil""]","[]","11AM-11PM",10.902622,106.800172,1.00000000000000000000,1,1.00000000000000000000,1
114,Dish 7-4,Japanese,0.9,"[""Chicken"", ""Garlic""]","[]","12PM-12AM",10.822622,106.720172,1.00000000000000000000,1,1.00000000000000000000,1
51,Dish 1-1,Thai,1.1,"[""Chicken"", ""Basil""]","[]","9AM-10PM",10.762622,106.660172,1.00000000000000000000,1,1.00000000000000000000,1
210,Dish 16-10,French,1.0,"[""Chicken"", ""Basil""]","[]","12PM-10PM",10.912622,106.810172,1.00000000000000000000,1,1.00000000000000000000,1
151,Dish 11-1,Indian,1.3,"[""Chicken"", ""Garlic""]","[]","11AM-1AM",10.862622,106.760172,1.00000000000000000000,1,1.00000000000000000000,1
105,Dish 6-5,Chinese,0.95,"[""Rice"", ""Basil""]","[]","9AM-11PM",10.812622,106.710172,1.00000000000000000000,1,1.00000000000000000000,1
134,Dish 9-4,Korean,1.05,"[""Rice"", ""Basil""]","[]","7AM-7PM",10.842622,106.740172,1.00000000000000000000,1,1.00000000000000000000,1
66,Dish 2-6,Italian,1.0,"[""Chicken"", ""Basil""]","[]","10AM-9PM",10.772622,106.670172,1.00000000000000000000,1,1.00000000000000000000,1
57,Dish 1-7,French,1.0,"[""Chicken"", ""Basil""]","[]","9AM-10PM",10.762622,106.660172,1.00000000000000000000,1,1.00000000000000000000,1
155,Dish 11-5,Chinese,0.95,"[""Tomato"", ""Cheese""]","[]","11AM-1AM",10.862622,106.760172,1.00000000000000000000,1,1.00000000000000000000,1
216,Dish 17-6,Italian,1.0,"[""Garlic"", ""Basil""]","[]","7AM-9PM",10.922622,106.820172,1.00000000000000000000,1,1.00000000000000000000,1
112,Dish 7-2,Italian,1.0,"[""Beef"", ""Chili Pepper""]","[]","12PM-12AM",10.822622,106.720172,0,0,0,0
113,Dish 7-3,Chinese,0.95,"[""Rice"", ""Basil""]","[]","12PM-12AM",10.822622,106.720172,0,0,0,0
115,Dish 7-5,Italian,1.0,"[""Tomato"", ""Cheese""]","[]","12PM-12AM",10.822622,106.720172,0,0,0,0
119,Dish 7-9,French,1.0,"[""Tomato"", ""Rice""]","[]","12PM-12AM",10.822622,106.720172,0,0,0,0
120,Dish 7-10,Korean,1.05,"[""Beef"", ""Chili Pepper""]","[]","12PM-12AM",10.822622,106.720172,0,0,0,0
121,Dish 8-1,Japanese,0.9,"[""Chicken"", ""Garlic""]","[]","8AM-8PM",10.832622,106.730172,0,0,0,0
122,Dish 8-2,French,1.0,"[""Rice"", ""Basil""]","[]","8AM-8PM",10.832622,106.730172,0,0,0,0
124,Dish 8-4,Chinese,0.95,"[""Chicken"", ""Garlic""]","[]","8AM-8PM",10.832622,106.730172,0,0,0,0
125,Dish 8-5,Italian,1.0,"[""Cheese"", ""Tomato""]","[]","8AM-8PM",10.832622,106.730172,0,0,0,0
127,Dish 8-7,Mexican,1.2,"[""Beef"", ""Rice""]","[]","8AM-8PM",10.832622,106.730172,0,0,0,0
128,Dish 8-8,Thai,1.1,"[""Rice"", ""Basil""]","[]","8AM-8PM",10.832622,106.730172,0,0,0,0
129,Dish 8-9,Thai,1.1,"[""Chili Pepper"", ""Garlic""]","[]","8AM-8PM",10.832622,106.730172,0,0,0,0
130,Dish 8-10,American,1.0,"[""Chicken"", ""Garlic""]","[]","8AM-8PM",10.832622,106.730172,0,0,0,0
131,Dish 9-1,American,1.0,"[""Beef"", ""Rice""]","[]","7AM-7PM",10.842622,106.740172,0,0,0,0
133,Dish 9-3,Korean,1.05,"[""Beef"", ""Rice""]","[]","7AM-7PM",10.842622,106.740172,0,0,0,0
135,Dish 9-5,American,1.0,"[""Rice"", ""Basil""]","[]","7AM-7PM",10.842622,106.740172,0,0,0,0
