"id","username","age","lat","lng","cuisines","flavors","allergic","restriction_id","dining_out_frequecy","dining_partner"
user_031,markthomas,25,,,"[1, 5]","[1, 5]","[""dairy""]",,6,{friends}
user_068,lucasmorris,36,,,"[8, 16]","[2, 8]",[],,3,{friends}
user_069,evelynclark,30,,,"[9, 17]","[3, 9]","[""gluten""]",,4,{colleagues}
user_070,jackwright,25,,,"[10, 18]","[4, 10]",[],,6,{family}
user_071,abigailfoster,23,,,"[11, 17]","[1, 5]","[""dairy""]",,6,{friends}
user_072,williamreed,37,,,"[12, 18]","[2, 6]",[],,2,{partner}
user_073,sophiabaker,28,,,"[13, 19]","[3, 7]","[""gluten""]",,5,{family}
user_074,jamescarter,25,,,"[14, 20]","[4, 8]",[],,4,{colleagues}
user_075,emilyhayes,32,,,"[15, 1]","[5, 9]","[""nuts""]",,3,{friends}
user_076,michaelgrant,29,,,"[16, 2]","[6, 10]",[],,6,{partner}
user_077,oliviastewart,34,,,"[17, 3]","[7, 1]","[""shellfish""]",,5,{family}
user_078,danielmurphy,26,,,"[18, 4]","[8, 2]",[],,4,{friends}
user_079,avarussell,31,,,"[19, 5]","[9, 3]","[""dairy""]",,3,{colleagues}
user_080,henrypeterson,27,,,"[20, 6]","[10, 4]",[],,5,{partner}
user_081,miacollins,33,,,"[1, 7]","[1, 5]","[""gluten""]",,4,{friends}
user_082,alexanderbell,30,,,"[2, 8]","[2, 6]",[],,6,{family}
user_084,liamwood,35,,,"[4, 10]","[4, 8]",[],,5,{colleagues}
user_011,johndoe,30,,,"[1, 2]","[1, 3]","[""nuts""]",,5,"{friends,family}"
user_012,janesmith,25,,,"[3, 4]","[2, 4]",[],,3,{partner}
user_013,mikebrown,28,,,"[5, 6]","[5, 6]","[""shellfish""]",,4,{friends}
user_014,emilyjones,35,,,"[7, 8]","[7, 8]",[],,2,{family}
user_015,davidwilson,27,,,"[9, 10]","[9, 10]","[""dairy""]",,6,{colleagues}
user_016,sarahtaylor,32,,,"[11, 12]","[1, 2]",[],,3,{friends}
user_017,chrismoore,29,,,"[13, 14]","[3, 4]","[""gluten""]",,5,{partner}
user_018,lauramartin,31,,,"[15, 16]","[5, 6]",[],,4,{family}
user_019,alexjackson,26,,,"[17, 18]","[7, 8]","[""nuts""]",,3,{friends}
user_020,katiewhite,33,,,"[19, 20]","[9, 10]",[],,5,{colleagues}
user_021,tomgreen,22,,,"[1, 3]","[1, 2]","[""shellfish""]",,7,{friends}
user_022,annaclark,40,,,"[2, 4]","[3, 4]",[],,2,{family}
user_023,benlee,29,,,"[5, 7]","[5, 6]","[""dairy""]",,4,{partner}
user_024,lisaadams,34,,,"[6, 8]","[7, 8]",[],,3,{colleagues}
user_025,ryanhall,27,,,"[9, 11]","[9, 10]","[""gluten""]",,6,{friends}
user_026,emmawright,36,,,"[10, 12]","[1, 3]",[],,5,{family}
user_027,nickevans,23,,,"[13, 15]","[2, 4]","[""nuts""]",,4,{partner}
user_028,sophiahill,38,,,"[14, 16]","[5, 6]",[],,3,{friends}
user_029,jakeking,31,,,"[17, 19]","[7, 8]","[""shellfish""]",,5,{colleagues}
user_030,oliviascott,28,,,"[18, 20]","[9, 10]",[],,4,{family}
user_032,clairewalker,39,,,"[2, 6]","[2, 6]",[],,2,{partner}
user_033,steveroberts,30,,,"[3, 7]","[3, 7]","[""gluten""]",,5,{family}
user_034,hannahmorris,27,,,"[4, 8]","[4, 8]",[],,4,{colleagues}
user_035,pauljackson,32,,,"[9, 13]","[5, 9]","[""nuts""]",,3,{friends}
user_036,rachellee,29,,,"[10, 14]","[6, 10]",[],,6,{partner}
user_037,adamwhite,34,,,"[11, 15]","[1, 7]","[""shellfish""]",,5,{family}
user_038,zoeharris,26,,,"[12, 16]","[2, 8]",[],,4,{friends}
user_039,lukemartin,37,,,"[17, 20]","[3, 9]","[""dairy""]",,3,{colleagues}
user_040,miaclark,31,,,"[18, 19]","[4, 10]",[],,5,{partner}
user_041,georgebrown,28,,,"[1, 9]","[5, 1]","[""gluten""]",,4,{friends}
user_042,lucywilson,33,,,"[2, 10]","[6, 2]",[],,6,{family}
user_043,danieltaylor,26,,,"[3, 11]","[7, 3]","[""nuts""]",,3,{partner}
user_044,chloemoore,35,,,"[4, 12]","[8, 4]",[],,5,{colleagues}
user_045,matthewjackson,30,,,"[5, 13]","[9, 5]","[""shellfish""]",,4,{friends}
user_046,ellathomas,27,,,"[6, 14]","[10, 6]",[],,6,{family}
user_047,jameswright,32,,,"[7, 15]","[1, 7]","[""dairy""]",,3,{partner}
user_048,sophieevans,29,,,"[8, 16]","[2, 8]",[],,5,{friends}
